557	0
655	98
941	286
1434	493
2118	684
2927	809
5578	2651
6167	589
8235	2068
9927	1692
12038	2111
16787	4749
19887	3100
23898	4011
27643	3745
30805	3162
34399	3594
37130	2731
40161	3031
42769	2608
44812	2043
45230	418
60382	15152
66910	6528
69053	2143
71236	2183
73271	2035
75153	1882
75653	500
76213	560
76842	629
78603	1761
78984	381
79552	568
80406	854
81383	977
82742	1359
84131	1389
86027	1896
88403	2376
90383	1980
92984	2601
95290	2306
98108	2818
102022	3914
106126	4104
110063	3937
114246	4183
119076	4830
126770	7694
132645	5875
146960	14315
158016	11056
169305	11289
184118	14813
200130	16012
219708	19578
246833	27125
277758	30925
309890	32132
345004	35114
387677	42673
428761	41084
479861	51100
542722	62861
607682	64960
677321	69639
734228	56907
799449	65221
876334	76885
958575	82241
1041425	82850
1125526	84101
1184111	75661
1254554	70443
1328501	73947
1397695	72688
1481020	83325
1567528	86508
1652910	85382
1726920	74010
1846036	119116
1917134	71098
2000958	83824
2078947	77989
2173165	94218
2260946	87781
2337622	76676
2414138	76516
2490012	75874
2565621	75609
2646930	81309
2730303	83373
2814185	83882
2897250	83065
2968140	70890
3039198	71058
3114828	75630
3192044	77216
3275297	83253
3364112	88815
3443245	79133
3517700	74455
3594890	77190
3674661	79771
3765213	90552
3853862	88649
3944600	90738
4028822	84222
4104025	75203
4180369	76344
4265289	84920
4349617	84328
4444881	95264
4541044	96163
4635218	94174
4713196	77978
4802354	89158
4898925	96571
5003883	104958
5109774	105891
5217340	107566
5321393	104053
5414589	93196
5502566	87977
5595461	92895
5698046	102585
5817872	119826
5939415	121543
6074349	134934
6176664	102315
6276154	99490
6400577	124423
6511725	111148
6649962	138237
6783578	133616
6913412	129834
7024560	111148
7127811	103251
7254099	126288
7390863	136764
7526072	135209
7654026	127954
7787677	133651
7919770	132093
8044520	124750
8189068	144548
8332172	143104
8475057	142885
8656374	181317
8842043	185669
8935063	93020
9076881	141818
9245085	168204
9416372	171287
9595545	179173
9788643	193098
9965146	176503
10132883	167737
10285959	153076
10469231	183272
10684577	215346
10888826	204249
11091786	202960
11281425	189639
11467406	185981
11635368	167962
11844218	208850
12059982	215764
12283808	223826
12516762	232954
12729883	213121
12921405	191522
13117284	195879
13337775	220491
13567369	229594
13811827	244458
14049431	237604
14284880	235449
14496930	212050
14705711	208781
14947849	242138
15223704	275855
15503500	279796
15787460	283960
16035820	248360
16248875	213055
16483558	234683
16748015	264457
17018991	270976
17299227	280236
17588287	289060
17834468	246181
18065573	231105
18270888	205315
18536483	265595
18812316	275833
19098602	286286
19381829	283227
19646447	264618
19879869	233422
20114520	234651
20378738	264218
20654531	275793
20944355	289824
21252178	307823
21500094	247916
21710618	210524
21924547	213929
22183399	258852
22461383	277984
22731752	270369
22994812	263060
23256481	261669
23459915	203434
23688827	228912
23933459	244632
24215379	281920
24502274	286895
24786713	284439
25046971	260258
25265580	218609
25531172	265592
25797514	266342
26079699	282185
26365177	285478
26666480	301303
26938986	272506
27168648	229662
27387067	218419
27632800	245733
27918043	285243
28221377	303334
28537933	316556
28826128	288195
29073850	247722
29341995	268145
29621911	279916
29926984	305073
30241222	314238
30569046	327824
30860510	291464
31115779	255269
31376253	260474
31659702	283449
31971464	311762
32291787	320323
32622267	330480
32905825	283558
33153492	247667
33416960	263468
33698680	281720
34023666	324986
34342232	318566
34671382	329150
34967926	296544
35226479	258553
35539152	312673
35853942	314790
36203088	349146
